t,r2
0.636133757,0.437086562
0.960208767,0.428332288
1.259522991,0.418561487
1.583962131,0.406145692
1.933435155,0.392000283
2.232476281,0.384975624
2.556824389,0.373475209
2.881172496,0.361974794
3.180668784,0.350373232
3.504925859,0.339788198
3.829364999,0.327372403
4.153531042,0.317702749
4.477606053,0.308948476
4.802045192,0.296532681
5.101268383,0.28767726
5.425525459,0.277092226
5.749418405,0.270168713
6.073493415,0.26141444
6.372716606,0.252559019
6.69651852,0.246550887
7.020138369,0.242373516
7.343849251,0.237280764
7.642526248,0.233917626
7.966146097,0.229740254
8.289856978,0.224647503
8.588351911,0.223115126
8.911698663,0.221683895
9.260079299,0.218523051
9.558847329,0.214244533
9.882194081,0.212813303
10.2057229,0.209551312
10.50439989,0.206188174
10.82765561,0.205672324
11.15127546,0.201494953
11.47462222,0.200063723
11.79806,0.197717112
12.12149778,0.195370501
12.42008375,0.192922744
12.71885178,0.188644226
13.06695932,0.188229523
13.3903971,0.185882912
13.6890741,0.182519774
14.01260292,0.179257783
14.36080149,0.1779277
14.65938745,0.175479943
14.98282524,0.173133332
15.30635405,0.169871341
15.60494002,0.167423583
15.9283778,0.165076973
16.25172456,0.163645743
16.55012846,0.163028746
16.87374831,0.158851375
17.19709506,0.157420144
