# x, y, z, u, v, w
9.817477042468103487e-02,9.817477042468103487e-02,9.817477042468103487e-02,2.255865491672956191e-01,-2.143063507364081355e-01,-9.147671446285929320e-02
2.945243112740431046e-01,9.817477042468103487e-02,9.817477042468103487e-02,8.100761593509194780e-01,-7.586705542699998528e-01,3.741912460511231941e-01
4.908738521234051744e-01,9.817477042468103487e-02,9.817477042468103487e-02,9.589212206057945442e-01,-1.156507022090475179e+00,5.558482879472622651e-01
6.872233929727672441e-01,9.817477042468103487e-02,9.817477042468103487e-02,5.229352769511821375e-01,-1.340817100106905357e+00,4.775801712126545029e-01
8.835729338221293139e-01,9.817477042468103487e-02,9.817477042468103487e-02,-2.302466522645466585e-01,-1.435725759273983160e+00,3.957955059715376894e-02
1.079922474671491273e+00,9.817477042468103487e-02,9.817477042468103487e-02,-8.387218107897450592e-01,-1.372396449540457919e+00,-7.090184854054955021e-01
1.276272015520853564e+00,9.817477042468103487e-02,9.817477042468103487e-02,-9.884955935592054654e-01,-1.069230010513749773e+00,-1.458153991865656751e+00
1.472621556370215412e+00,9.817477042468103487e-02,9.817477042468103487e-02,-6.685314188259849910e-01,-5.786363226069595189e-01,-1.854414051584161616e+00
1.668971097219577704e+00,9.817477042468103487e-02,9.817477042468103487e-02,-1.257234878715342563e-01,8.052831574043402274e-02,-1.635372723783089954e+00
1.865320638068939552e+00,9.817477042468103487e-02,9.817477042468103487e-02,2.419838997058918750e-01,7.388828660494579648e-01,-7.524412766113738327e-01
2.061670178918301843e+00,9.817477042468103487e-02,9.817477042468103487e-02,1.035907492012329428e-01,9.457131119792496765e-01,3.474704280711938820e-01
2.258019719767663691e+00,9.817477042468103487e-02,9.817477042468103487e-02,-4.898885601814124691e-01,5.334717386539710171e-01,9.102242850490599446e-01
2.454369260617025983e+00,9.817477042468103487e-02,9.817477042468103487e-02,-1.090236832732730310e+00,-5.928390969962241130e-02,6.361239287672925125e-01
2.650718801466387831e+00,9.817477042468103487e-02,9.817477042468103487e-02,-1.271758848188562219e+00,-3.510271733707375219e-01,-9.544357550746829233e-02
2.847068342315750122e+00,9.817477042468103487e-02,9.817477042468103487e-02,-9.970478607455166564e-01,-2.973074884961712794e-01,-7.105751963405735339e-01
3.043417883165111970e+00,9.817477042468103487e-02,9.817477042468103487e-02,-5.391565879211734913e-01,-8.037544592933004717e-02,-7.293465098663107771e-01
3.239767424014474262e+00,9.817477042468103487e-02,9.817477042468103487e-02,-1.518645173516658120e-01,1.303928018895342267e-01,-2.668777739757268591e-02
3.436116964863836110e+00,9.817477042468103487e-02,9.817477042468103487e-02,7.229393638943164280e-02,1.732140954580553283e-01,8.271407197865183747e-01
3.632466505713198401e+00,9.817477042468103487e-02,9.817477042468103487e-02,1.055590148922436466e-01,9.677736870597977714e-02,1.099006254250205705e+00
3.828816046562560249e+00,9.817477042468103487e-02,9.817477042468103487e-02,-5.167604461096673985e-03,1.831846279375302644e-01,8.054420567878335380e-01
4.025165587411922985e+00,9.817477042468103487e-02,9.817477042468103487e-02,-7.286357400617811397e-02,4.035317194702315313e-01,5.630893243558621197e-01
4.221515128261284389e+00,9.817477042468103487e-02,9.817477042468103487e-02,2.599322296319137374e-02,3.742566679472086877e-01,7.262076503312764331e-01
4.417864669110645792e+00,9.817477042468103487e-02,9.817477042468103487e-02,1.805013676963055369e-01,5.771061667908939513e-02,1.048619658648388242e+00
4.614214209960008972e+00,9.817477042468103487e-02,9.817477042468103487e-02,2.849640943903479773e-01,-1.493812001271608014e-01,1.133080337403362448e+00
4.810563750809370376e+00,9.817477042468103487e-02,9.817477042468103487e-02,4.218734134152852810e-01,-5.604125324704076899e-02,8.812388510453208479e-01
5.006913291658733556e+00,9.817477042468103487e-02,9.817477042468103487e-02,5.982099080268072910e-01,8.366385674575799181e-02,2.740719198830727787e-01
5.203262832508094959e+00,9.817477042468103487e-02,9.817477042468103487e-02,5.784969726570532433e-01,-2.746376759374111881e-02,-8.161217173964718796e-01
5.399612373357456363e+00,9.817477042468103487e-02,9.817477042468103487e-02,2.016613685139024281e-01,-3.546372348932180785e-01,-2.146493976460713160e+00
5.595961914206819543e+00,9.817477042468103487e-02,9.817477042468103487e-02,-3.475118391189372935e-01,-5.990865175247314101e-01,-2.984306138306351386e+00
5.792311455056180947e+00,9.817477042468103487e-02,9.817477042468103487e-02,-7.312685932878617567e-01,-5.060029667828863653e-01,-2.855035431385536171e+00
5.988660995905542350e+00,9.817477042468103487e-02,9.817477042468103487e-02,-7.544408935927247040e-01,-1.462137892711748433e-01,-1.982436237527550604e+00
6.185010536754905530e+00,9.817477042468103487e-02,9.817477042468103487e-02,-3.975264062436573709e-01,5.876086145099203989e-02,-9.199016741244550044e-01
9.817477042468103487e-02,2.945243112740431046e-01,9.817477042468103487e-02,5.125692638920834043e-02,-7.721937323324686853e-01,-9.926011516299998449e-02
2.945243112740431046e-01,2.945243112740431046e-01,9.817477042468103487e-02,6.166817627902242416e-01,-1.103821816998209027e+00,3.241528290123428246e-01
4.908738521234051744e-01,2.945243112740431046e-01,9.817477042468103487e-02,6.557263563287272223e-01,-1.202001801540369508e+00,3.950383341830226991e-01
6.872233929727672441e-01,2.945243112740431046e-01,9.817477042468103487e-02,2.224520374327860761e-01,-1.162122858180715923e+00,2.687625359084792609e-01
8.835729338221293139e-01,2.945243112740431046e-01,9.817477042468103487e-02,-3.652215809062567820e-01,-1.174623002378559100e+00,-9.744755737911964255e-02
1.079922474671491273e+00,2.945243112740431046e-01,9.817477042468103487e-02,-8.108035355829164015e-01,-1.176113552146298646e+00,-7.575051221322530726e-01
1.276272015520853564e+00,2.945243112740431046e-01,9.817477042468103487e-02,-9.491978426010934111e-01,-1.049439327496862973e+00,-1.520249926640012905e+00
1.472621556370215412e+00,2.945243112740431046e-01,9.817477042468103487e-02,-7.096973714796711574e-01,-7.576536942625976545e-01,-2.025200213424603213e+00
1.668971097219577704e+00,2.945243112740431046e-01,9.817477042468103487e-02,-1.732553531390081947e-01,-1.915820284127862649e-01,-1.892291709387427856e+00
1.865320638068939552e+00,2.945243112740431046e-01,9.817477042468103487e-02,3.358930390033865176e-01,5.890802689767966616e-01,-9.172296536082407137e-01
2.061670178918301843e+00,2.945243112740431046e-01,9.817477042468103487e-02,4.308360619553910364e-01,1.079714669938326432e+00,4.965632636303307645e-01
2.258019719767663691e+00,2.945243112740431046e-01,9.817477042468103487e-02,6.646574924536796658e-02,8.677169206645153343e-01,1.394728564574110763e+00
2.454369260617025983e+00,2.945243112740431046e-01,9.817477042468103487e-02,-3.856184542550494809e-01,2.076960622029290771e-01,1.225238754887105985e+00
2.650718801466387831e+00,2.945243112740431046e-01,9.817477042468103487e-02,-5.472206343249752525e-01,-3.379270073748163461e-01,3.615768299429750199e-01
2.847068342315750122e+00,2.945243112740431046e-01,9.817477042468103487e-02,-3.745353906853233772e-01,-5.020383320466903498e-01,-4.583845742364628384e-01
3.043417883165111970e+00,2.945243112740431046e-01,9.817477042468103487e-02,-6.093343859907849464e-02,-3.494348684497612934e-01,-6.793487947259863047e-01
3.239767424014474262e+00,2.945243112740431046e-01,9.817477042468103487e-02,2.456324882987772074e-01,-6.563872422042293930e-02,-1.988043249751219044e-01
3.436116964863836110e+00,2.945243112740431046e-01,9.817477042468103487e-02,4.951139972334800410e-01,1.627639073785758506e-01,4.371847786502373046e-01
3.632466505713198401e+00,2.945243112740431046e-01,9.817477042468103487e-02,6.036820427563320823e-01,2.827547044242238461e-01,6.134765969486654091e-01
3.828816046562560249e+00,2.945243112740431046e-01,9.817477042468103487e-02,5.258002305522760933e-01,3.466176549024556630e-01,4.546090780321609959e-01
4.025165587411922985e+00,2.945243112740431046e-01,9.817477042468103487e-02,3.982094243402791722e-01,2.871609225548029110e-01,5.082442110116452971e-01
4.221515128261284389e+00,2.945243112740431046e-01,9.817477042468103487e-02,3.639779782898032723e-01,2.420406422150579717e-02,8.947951470658295214e-01
4.417864669110645792e+00,2.945243112740431046e-01,9.817477042468103487e-02,3.860641016551445981e-01,-2.603719205215835886e-01,1.229367348708680252e+00
4.614214209960008972e+00,2.945243112740431046e-01,9.817477042468103487e-02,4.107039347002310881e-01,-3.209451726116899217e-01,1.226354091376178124e+00
4.810563750809370376e+00,2.945243112740431046e-01,9.817477042468103487e-02,4.692220909831772979e-01,-1.692571884106471303e-01,9.735799211840266976e-01
5.006913291658733556e+00,2.945243112740431046e-01,9.817477042468103487e-02,4.603835778512286869e-01,8.987898624700195460e-03,4.900218361062161354e-01
5.203262832508094959e+00,2.945243112740431046e-01,9.817477042468103487e-02,1.168500003396867881e-01,7.833723895782812585e-02,-4.657245478956961726e-01
5.399612373357456363e+00,2.945243112740431046e-01,9.817477042468103487e-02,-6.169008142506817727e-01,1.715614467947622346e-03,-1.795393285134549544e+00
5.595961914206819543e+00,2.945243112740431046e-01,9.817477042468103487e-02,-1.376735036623418784e+00,-1.826528376453607216e-01,-2.803841108540344074e+00
5.792311455056180947e+00,2.945243112740431046e-01,9.817477042468103487e-02,-1.705743144479299422e+00,-3.393848499541056718e-01,-2.882630119111752265e+00
5.988660995905542350e+00,2.945243112740431046e-01,9.817477042468103487e-02,-1.449052668296426205e+00,-3.797171084960835885e-01,-2.093439170959869866e+00
6.185010536754905530e+00,2.945243112740431046e-01,9.817477042468103487e-02,-7.623102018420020443e-01,-4.675327140841286089e-01,-9.828154881978898860e-01
9.817477042468103487e-02,4.908738521234051744e-01,9.817477042468103487e-02,-4.135140936244857124e-01,-9.563407032784524420e-01,-4.997052214338559839e-01
2.945243112740431046e-01,4.908738521234051744e-01,9.817477042468103487e-02,-1.636510490227231773e-01,-9.970285414210924291e-01,-1.102857084549548339e-01
4.908738521234051744e-01,4.908738521234051744e-01,9.817477042468103487e-02,-2.373555575349645952e-01,-9.139016793292389362e-01,1.151478895546416414e-01
6.872233929727672441e-01,4.908738521234051744e-01,9.817477042468103487e-02,-4.659645410687287548e-01,-9.152950169454642237e-01,2.447915209708385886e-01
8.835729338221293139e-01,4.908738521234051744e-01,9.817477042468103487e-02,-6.462666727013606227e-01,-1.080199867467913410e+00,1.118458844793462081e-01
1.079922474671491273e+00,4.908738521234051744e-01,9.817477042468103487e-02,-7.383778581401010399e-01,-1.233342261513389992e+00,-4.641378665248488411e-01
1.276272015520853564e+00,4.908738521234051744e-01,9.817477042468103487e-02,-7.649516806544675029e-01,-1.245234785262174348e+00,-1.289156884311323914e+00
1.472621556370215412e+00,4.908738521234051744e-01,9.817477042468103487e-02,-6.472456782491087246e-01,-1.049046404393237708e+00,-1.882919339917543011e+00
1.668971097219577704e+00,4.908738521234051744e-01,9.817477042468103487e-02,-2.999339835383083019e-01,-4.613582813557919882e-01,-1.821719101465834489e+00
1.865320638068939552e+00,4.908738521234051744e-01,9.817477042468103487e-02,1.712587311564549575e-01,4.948976824704283128e-01,-9.387396281232854856e-01
2.061670178918301843e+00,4.908738521234051744e-01,9.817477042468103487e-02,5.016199032738082320e-01,1.235143166793708946e+00,4.269048537780067987e-01
