t,r2,min_uncertainty,max_uncertainty
0.529281193,0.426490632,0.401718731,0.450342807
0.87985376,0.416382808,,
1.205549052,0.405358693,,
1.531610861,0.390664837,,
1.832703766,0.375972126,,
2.1582158,0.366782883,,
2.48409435,0.353923898,,
2.809881272,0.341982348,,
3.135759822,0.329123362,,
3.436669469,0.316265523,,
3.762548019,0.303406537,,
4.113212215,0.292381277,,
4.438907507,0.281357163,0.26117473,0.300624452
4.739908783,0.267581888,,
5.040451914,0.258393789,,
5.366147207,0.247369675,,
5.69175087,0.237262996,,
6.017354533,0.227156317,,
6.342866568,0.217967073,,
6.668286973,0.209695265,,
6.968463588,0.204176908,,
7.293700735,0.197739971,,
7.618662995,0.194055339,,
7.91883961,0.188536983,,
8.24416839,0.18118261,,
8.56894739,0.179332849,,
8.89381802,0.176565653,,
9.19390301,0.171964732,,
9.5189569,0.167362665,0.151765118,0.182957922
9.84391916,0.163678034,,
10.16897305,0.159075967,,
10.49393531,0.155391336,,
10.79383703,0.152625285,,
11.11898255,0.147105783,,
11.44385318,0.144338587,,
11.76881544,0.140653956,,
12.0688088,0.13697047,,
12.36880216,0.133286984,,
12.71882495,0.128683772,,
13.04369558,0.125916576,,
13.36874947,0.12131451,,
13.6686512,0.118548459,,
13.96873618,0.113947538,,
14.31857572,0.111179197,,
14.64344635,0.108412001,,
14.96850024,0.103809934,0.090965838,0.114819159
15.26867685,0.098291577,,
15.59354749,0.095524381,,
15.94347865,0.091838605,,
16.24347201,0.088155119,,
16.56834264,0.085387923,,
16.8933049,0.081703292,,
17.21826716,0.07801866,,
